Loading FW Lite setup.
Using TENStyle
Type                                  Module                      Label             Process   
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "dt1DCosmicRecHits"         ""                "HLT"     
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "dt1DRecHits"               ""                "HLT"     
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "rpcRecHits"                ""                "HLT"     
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "towerMaker"                ""                "HLT"     
edm::SortedCollection<CastorRecHit,edm::StrictWeakOrdering<CastorRecHit> >    "castorreco"                ""                "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEE"      ""                "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalRecHit"                "EcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalRecHit"                "EcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalPreshowerRecHit"       "EcalRecHitsES"   "HLT"     
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "ecalTPSkim"                ""                "HLT"     
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hbhereco"                  ""                "HLT"     
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "HLT"     
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "hfreco"                    ""                "HLT"     
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "HLT"     
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "horeco"                    ""                "HLT"     
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hcalDigis"                 ""                "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<ZDCRecHit,edm::StrictWeakOrdering<ZDCRecHit> >    "zdcreco"                   ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU04"   "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "HLT"     
edm::ValueMap<edm::Ref<vector<reco::PreId>,reco::PreId,edm::refhelper::FindUsingAdvance<vector<reco::PreId>,reco::PreId> > >    "trackerDrivenElectronSeeds"   "preid"           "HLT"     
edm::ValueMap<edm::Ref<vector<reco::SuperCluster>,reco::SuperCluster,edm::refhelper::FindUsingAdvance<vector<reco::SuperCluster>,reco::SuperCluster> > >    "pfElectronTranslator"      "pf"              "HLT"     
edm::ValueMap<float>                  "eidLoose"                  ""                "HLT"     
edm::ValueMap<float>                  "eidRobustHighEnergy"       ""                "HLT"     
edm::ValueMap<float>                  "eidRobustLoose"            ""                "HLT"     
edm::ValueMap<float>                  "eidRobustTight"            ""                "HLT"     
edm::ValueMap<float>                  "eidTight"                  ""                "HLT"     
edm::ValueMap<float>                  "softElectronCands"         ""                "HLT"     
edm::ValueMap<float>                  "pfElectronTranslator"      "pf"              "HLT"     
edm::ValueMap<reco::CastorJetID>      "ak7CastorJetID"            ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxDiscrimASmi"           ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxHarmonic2"             ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxTruncated40"           ""                "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositJets"          ""                "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositTk"            ""                "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ecal"            "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "hcal"            "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ho"              "HLT"     
edm::ValueMap<reco::JetID>            "ak5JetID"                  ""                "HLT"     
edm::ValueMap<reco::JetID>            "ak7JetID"                  ""                "HLT"     
edm::ValueMap<reco::JetID>            "ic5JetID"                  ""                "HLT"     
edm::ValueMap<reco::JetID>            "kt4JetID"                  ""                "HLT"     
edm::ValueMap<reco::JetID>            "kt6JetID"                  ""                "HLT"     
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "HLT"     
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "HLT"     
edm::ValueMap<reco::MuonMETCorrectionData>    "muonTCMETValueMapProducer"   "muCorrData"      "HLT"     
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "HLT"     
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "HLT"     
edmNew::DetSetVector<SiPixelCluster>    "siPixelClusters"           ""                "HLT"     
edmNew::DetSetVector<SiStripCluster>    "siStripClusters"           ""                "HLT"     
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "HLT"     
reco::BeamSpot                        "offlineBeamSpot"           ""                "HLT"     
reco::CSCHaloData                     "CSCHaloData"               ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationAgainstElectron"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationAgainstMuon"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByECALIsolation"   ""                "HLT"     
